,Pearson,Spearman,Delta
shortwave_radiation,0.3913826462253442,0.6354263994515337,0.24404375322618949
direct_normal_irradiance,0.3666220975431976,0.5953629972267115,0.2287408996835139
sunshine_duration,0.228962402932821,0.42751417341038994,0.19855177047756895
temperature_c,0.22326918435457166,0.3581530805763331,0.13488389622176145
diffuse_solar_radiation,0.1870755906295111,0.4127371513171709,0.22566156068765983
hour,0.06117033110526851,0.10481527589517893,0.04364494478991042
year,0.028518239482702133,0.011394932499086994,-0.01712330698361514
wind_speed,0.008418645443451623,0.032942623139099694,0.02452397769564807
day,0.007212758735591954,0.0115831919076881,0.0043704331720961455
month,0.0031726684371689087,0.01066216365974682,0.0074894952225779115
cloud_cover_high,-0.06361292910765201,-0.09886256373730151,-0.0352496346296495
precipitation_mm,-0.06599875522210762,-0.17209929955000958,-0.10610054432790196
cloud_cover_low,-0.10228042940385228,-0.16898072938438952,-0.06670029998053724
cloud_cover_total,-0.1318953847350144,-0.19936018225050756,-0.06746479751549317
cloud_cover_mid,-0.14115420532966205,-0.21437390452856797,-0.07321969919890592
